Id,Quantità,Totale,IdFattura,IdProdotto,DataFattura,IdCliente,CostoProdotto
1,5,69.41,655,8,2023-01-26,913,11.94
2,7,7.76,693,2,2023-03-31,4468,2.46
3,9,353.46,518,7,2023-01-28,4932,36.08
4,5,259.7,430,26,2024-04-04,1806,43.6
5,5,69.14,164,5,2023-12-15,3463,11.55
6,2,95.57,105,12,2024-01-25,760,42.53
7,9,222.55,827,4,2024-04-15,356,48.68
8,6,17.19,566,19,2024-10-05,2402,10.42
9,2,79.19,678,8,2023-10-24,1867,43.46
10,6,36.17,465,12,2023-06-16,2989,11.27
11,3,60.81,960,18,2024-09-15,585,36.73
12,9,399.1,389,8,2024-10-17,2212,34.55
13,1,19.87,795,26,2023-08-23,459,16.46
14,4,138.37,217,21,2023-11-19,4647,25.46
15,5,61.38,659,5,2023-05-27,3759,13.08
16,7,123.1,270,12,2024-03-14,4789,11.75
17,1,9.88,522,4,2023-04-04,4043,8.49
18,2,58.95,697,13,2024-09-02,3459,19.7
19,1,49.86,542,22,2024-07-20,2060,36.32
20,6,36.13,550,4,2024-10-18,2186,15.38
21,3,185.61,4,17,2024-05-27,2158,45.72
22,4,36.55,306,5,2024-09-15,4159,19.32
23,6,16.46,977,16,2023-01-01,4345,1.95
24,1,65.1,900,8,2023-09-03,2520,44.02
25,9,66.45,88,25,2023-03-12,3982,7.16
26,5,166.6,970,17,2023-06-19,4504,43.75
27,9,132.16,217,25,2023-11-19,4647,36.77
28,6,210.38,320,15,2024-11-18,3269,45.08
29,6,87.04,254,1,2023-03-07,1841,29.83
30,1,4.78,226,8,2023-03-14,59,4.3
31,4,72.62,339,9,2024-06-10,581,33.78
32,8,390.62,136,8,2024-08-13,4678,39.45
33,7,119.46,195,12,2023-04-10,773,21.76
34,2,36.17,747,2,2024-11-20,444,20.73
35,4,48.75,883,7,2023-09-12,896,27.28
36,4,120.83,188,3,2024-04-18,2282,22.71
37,9,467.11,564,1,2023-02-21,803,48.48
38,7,226.91,870,16,2023-06-20,1937,24.59
39,7,172.43,925,1,2023-06-18,481,49.28
40,7,497.95,803,23,2023-10-20,3728,47.91
41,4,16.18,570,10,2023-06-08,3987,11.67
42,6,16.84,754,2,2023-03-04,4442,3.46
43,1,5.79,942,17,2023-06-11,4351,4.93
44,4,37.53,610,13,2024-11-22,557,6.87
45,1,6.84,253,20,2024-08-31,4743,5.02
46,5,105.21,579,7,2023-11-20,4283,33.82
47,5,97.49,272,15,2023-05-15,3243,16.49
48,2,56.35,75,3,2024-04-14,77,27.34
49,6,177.17,136,3,2024-08-13,4678,44.08
50,5,308.32,162,20,2024-07-10,3590,49.21
51,1,50.06,542,22,2024-07-20,2060,41.04
52,5,260.98,680,4,2023-05-18,849,44.6
53,4,79.54,160,23,2023-10-16,2232,17.8
54,8,430.73,874,9,2024-06-01,2163,45.36
55,1,19.98,95,1,2023-10-11,3470,17.34
56,9,26.79,269,23,2024-03-28,1324,21.96
57,1,34.24,78,12,2024-07-12,1222,29.54
58,6,68.83,131,26,2023-11-12,343,48.64
59,4,29.73,367,22,2024-11-29,1721,6.04
60,3,191.66,906,8,2024-09-27,3330,43.37
61,1,45.73,831,6,2024-02-27,1451,37.09
62,4,39.92,954,9,2024-11-16,3373,8.8
63,4,137.61,392,7,2024-04-26,318,41.01
64,1,12.88,313,22,2023-08-17,1865,10.46
65,6,167.91,886,21,2023-10-13,569,25.96
66,1,52.96,864,4,2023-12-06,4393,43.97
67,2,55.37,595,20,2023-02-09,2175,22.29
68,9,163.92,322,4,2024-09-12,3575,19.87
69,7,229.88,261,1,2024-12-26,364,26.48
70,7,463.28,704,3,2024-01-08,1615,47.49
71,2,93.07,639,24,2024-11-10,2572,45.1
72,7,35.57,683,23,2023-12-01,3346,15.49
73,3,71.67,431,20,2024-11-24,3106,28.89
74,5,106.15,854,7,2023-11-08,4,22.06
75,8,227.57,671,15,2024-04-21,2640,34.11
76,2,60.47,813,10,2024-11-05,1391,26.26
77,5,82.79,344,8,2023-08-29,766,40.52
78,2,48.94,48,15,2024-05-01,2006,21.31
79,7,62.25,200,8,2024-05-21,3146,8.23
80,4,182.2,915,6,2024-03-11,874,40.4
81,4,117.48,476,4,2024-07-24,412,23.37
82,6,265.4,684,25,2024-07-26,4352,44.68
83,9,384.51,737,15,2024-03-12,4136,44.96
84,4,71.65,487,21,2023-09-23,3687,14.59
85,8,131.47,497,3,2023-10-09,1960,35.96
86,6,11.34,344,18,2023-08-29,766,4.95
87,4,58.05,393,3,2024-12-24,1252,21.33
88,4,97.83,478,14,2023-03-05,3407,20.08
89,7,5.68,969,16,2024-08-12,161,1.29
90,9,407.68,772,24,2024-03-05,3195,37.0
91,4,27.78,920,9,2024-05-14,1807,22.36
92,8,292.2,345,5,2023-06-19,3313,49.06
93,1,37.5,929,3,2024-08-29,3228,32.49
94,5,68.33,473,13,2023-02-21,1489,17.04
95,7,231.38,346,9,2023-10-12,3106,41.91
96,6,238.95,768,8,2023-02-23,4419,32.86
97,4,174.57,668,7,2023-02-01,330,42.12
98,2,94.1,245,19,2024-04-29,1035,47.44
99,2,120.69,263,25,2023-06-21,3022,41.15
100,5,247.27,111,19,2023-01-27,4741,34.19
101,4,90.63,407,4,2023-03-19,1625,35.16
102,1,36.98,701,12,2023-05-04,4919,27.1
103,6,323.84,71,1,2024-10-25,4145,42.63
