IdFattura,TipoOrdine
1,Online
2,Negozio
3,Email
4,Email
5,Online
6,Negozio
7,Online
8,Negozio
9,Email
10,Email
11,Online
12,Negozio
13,Negozio
14,Negozio
15,Email
16,Email
17,Online
18,Online
19,Negozio
20,Negozio
21,Online
22,Online
23,Online
24,Email
25,Negozio
26,Email
27,Negozio
28,Email
29,Email
30,Negozio
31,Negozio
32,Email
33,Email
34,Email
35,Email
36,Online
37,Negozio
38,Negozio
39,Email
40,Online
41,Email
42,Negozio
43,Online
44,Negozio
45,Negozio
46,Email
47,Email
48,Negozio
49,Online
50,Negozio
51,Email
52,Online
53,Online
54,Negozio
55,Email
56,Email
57,Email
58,Email
59,Negozio
60,Email
61,Email
62,Email
63,Negozio
64,Negozio
65,Online
66,Online
67,Online
68,Online
69,Online
70,Email
71,Email
72,Negozio
73,Online
74,Negozio
75,Negozio
76,Negozio
77,Email
78,Negozio
79,Email
80,Email
81,Email
82,Negozio
83,Online
84,Negozio
85,Email
86,Email
87,Online
88,Negozio
89,Negozio
90,Email
91,Negozio
92,Online
93,Online
94,Negozio
95,Email
96,Online
97,Negozio
98,Online
99,Email
100,Online
101,Email
102,Online
103,Online
104,Online
105,Online
106,Negozio
107,Online
108,Negozio
109,Online
110,Email
111,Negozio
112,Negozio
113,Online
114,Negozio
115,Online
116,Email
117,Online
118,Negozio
119,Online
120,Negozio
121,Online
122,Online
123,Online
124,Negozio
125,Email
126,Negozio
127,Email
128,Online
129,Negozio
130,Online
131,Online
132,Email
133,Email
134,Negozio
135,Email
136,Negozio
137,Negozio
138,Online
139,Online
140,Email
141,Online
142,Online
143,Online
144,Email
145,Email
146,Email
147,Negozio
148,Email
149,Negozio
150,Online
151,Negozio
152,Negozio
153,Online
154,Negozio
155,Email
156,Online
157,Email
158,Email
159,Negozio
160,Email
161,Negozio
162,Online
163,Online
164,Email
165,Email
166,Negozio
167,Negozio
168,Negozio
169,Email
170,Negozio
171,Online
172,Email
173,Email
174,Email
175,Negozio
176,Email
177,Online
178,Email
179,Online
180,Negozio
181,Negozio
182,Online
183,Negozio
184,Email
185,Online
186,Email
187,Negozio
188,Online
189,Online
190,Online
191,Online
192,Online
193,Online
194,Negozio
195,Email
196,Negozio
197,Online
198,Email
199,Negozio
200,Negozio
201,Online
202,Email
203,Email
204,Negozio
205,Online
206,Negozio
207,Negozio
208,Email
209,Email
210,Email
211,Negozio
212,Online
213,Negozio
214,Negozio
215,Email
216,Email
217,Negozio
218,Online
219,Email
220,Email
221,Negozio
222,Email
223,Email
224,Negozio
225,Online
226,Negozio
227,Online
228,Negozio
229,Negozio
230,Email
231,Online
232,Online
233,Email
234,Negozio
235,Negozio
236,Email
237,Negozio
238,Negozio
239,Online
240,Email
241,Email
242,Negozio
243,Online
244,Online
245,Negozio
246,Negozio
247,Negozio
248,Online
249,Online
250,Negozio
251,Email
252,Negozio
253,Negozio
254,Negozio
255,Negozio
256,Negozio
257,Email
258,Online
259,Online
260,Online
261,Negozio
262,Negozio
263,Negozio
264,Online
265,Email
266,Online
267,Online
268,Email
269,Email
270,Email
271,Online
272,Email
273,Email
274,Email
275,Online
276,Online
277,Online
278,Online
279,Online
280,Online
281,Online
282,Negozio
283,Negozio
284,Negozio
285,Online
286,Email
287,Online
288,Email
289,Email
290,Email
291,Negozio
292,Email
293,Online
294,Negozio
295,Email
296,Email
297,Email
298,Email
299,Negozio
300,Negozio
301,Negozio
302,Email
303,Online
304,Email
305,Negozio
306,Online
307,Online
308,Negozio
309,Email
310,Online
311,Negozio
312,Negozio
313,Negozio
314,Negozio
315,Online
316,Online
317,Negozio
318,Online
319,Online
320,Negozio
321,Negozio
322,Online
323,Negozio
324,Negozio
325,Email
326,Negozio
327,Email
328,Negozio
329,Online
330,Negozio
331,Email
332,Email
333,Negozio
334,Negozio
335,Email
336,Online
337,Negozio
338,Email
339,Online
340,Negozio
341,Email
342,Email
343,Negozio
344,Negozio
345,Online
346,Negozio
347,Negozio
348,Email
349,Negozio
350,Negozio
351,Negozio
352,Negozio
353,Negozio
354,Email
355,Email
356,Email
357,Negozio
358,Negozio
359,Email
360,Online
361,Negozio
362,Negozio
363,Negozio
364,Email
365,Online
366,Email
367,Online
368,Email
369,Online
370,Email
371,Negozio
372,Negozio
373,Online
374,Email
375,Online
376,Email
377,Email
378,Email
379,Email
380,Online
381,Negozio
382,Online
383,Email
384,Email
385,Email
386,Online
387,Negozio
388,Email
389,Online
390,Negozio
391,Email
392,Email
393,Email
394,Negozio
395,Online
396,Negozio
397,Negozio
398,Negozio
399,Online
400,Online
401,Online
402,Negozio
403,Email
404,Online
405,Online
406,Negozio
407,Negozio
408,Negozio
409,Email
410,Online
411,Negozio
412,Online
